조소학과는 현대 미술에서 입체작업이 차지하는 비중이 점점 커지고 있는 가운데 조각예술의 흐름과 양식 및 기법을 익힘으로써 창의적 조각예술 창달을 목적으로 합니다.,조소과
조소학과는 현대 사회에서 가장 중요시되는 환경적 측면에서의 조각을 재조명하면서 도시 미관에 관련된 환경미학 건축 도시계획 디자인 등을 학문적으로 연구합니다.,조소과
세부관련학과: 조각학과조소조소과조소전공조소전공(신),조소과
관련직업: 강사 교수 조각가 큐레이터 학예사(큐레이터),조소과
관련자격: 박물관및미술관준학예사 시각디자인기사,조소과
미술재료학,조소과
미술 분야 전반에 걸쳐 사용되는 재료의 성질과 기능을 이해하여 미술 이론과 표현 작업에 실제로 사용할 수 있도록 배웁니다.,조소과
미술해부학,조소과
인체의 미적표현을 위하여 인체의 근육과 골격의 구조 그리고 운동의 특성을 습득하여 조형적 표현에 응용되는 인체의 원리에 대해 배웁니다.,조소과
부조기법,조소과
2차원적 특징을 지닌 전통적 부조 기법을 바탕으로 하여 현대적 표현을 위한 다양한 재료 및 표현의 원리에 대해 배웁니다.,조소과
소묘,조소과
객관적 묘사를 기본으로 하여 2차원의 종이나 그 밖의 평면 재료에 대상의 3차원적 이미지를 표현하는 기본 감각을 연습하고 사물의 형태 양감 원근법 등 조형 요소를 표현하기 위해 강조와 생략 감정 등을 자유롭게 표현할 수 있는 능력을 기릅니다.,조소과
조각론,조소과
조각사의 표현 사조를 바탕으로 하여 삼차원적 표현의 조형론을 시적 미학적 측면에서 연구합니다. ,조소과
또한 표현 재료 및 조각 기법의 변천사를 통해 기법의 훈련 및 전개 방법을 배웁니다.,조소과
현대조각론,조소과
현대 조각의 형성과 전개 상황을 체계적으로 연구하여 현대 조각의 미술사적 입장에 대해 배웁니다.,조소과
미술해부학,조소과
인체의 미적 표현을 위하여 인체의 근육과 골격의 구조 그리고 운동의 특성을 파악하여 조형적 표현에 응용되는 인체의 원리에 대해 배웁니다.,조소과
소조,조소과
인체 모델링을 통하여 인체 조형의 기본적 질서를 이해하고 비례 균형 양감 질감 등 조소의 표현 요소를 익히며 세밀하게 관찰하여 정확히 대상을 표현할 수 있는 능력을 배웁니다.,조소과
금속조,조소과
금속 재료가 가지는 특성과 제작 기법들을 알고 익히며 다양한 표현 방법들을 연구하여 현대 미술에 미치는 금속 조각의 새로운 가능성에 대하여 배웁니다.,조소과
조소,조소과
인체 표현의 기본 개념을 알고 다양한 제작 기법으로 인체를 표현하는 방법을 배웁니다.,조소과
조소전공,조소과
이론과 실기의 균형 있는 교육을 바탕으로 입체에 대한 개성적 창의적 사고와 표현능력을 발휘할 수 있게 함과 동시에 작품에 대한 비평적 능력을 함양할 수 있도록 한다.,조소과
석조,조소과
인체 또는 추상형태를 주제로 석재의 특성에 따라 기법의 다양한 방법과 조각성을 모색하고 표현한다.,조소과
기초조소1,조소과
인체의 사실적 표현을 통해 조형감각을 학습함 그에 따른 다양한 표현방법을 연구한다.,조소과
소조1,조소과
점토를 매체로 사실적인 인체 표현을 연구한다.,조소과
점토 속성을 통하여 그 형태 및 기법을 연구한다. 다양한 재료를 매체로 그 기법과 물성을 연구한다.,조소과
기초조소2,조소과
인체의 사실적 표현을 통해 조형감각을 학습하며 조형원리에 대한 이해를 통해 미구상적 표현을 학습？심화한다.,조소과
소조2,조소과
소조1의 심화과정,조소과
목조,조소과
인체 또는 추상형태를 주제로 목재의 특성에 따라 기법의 다양한 방법과 조각성을 모색하고 표현한다.,조소과
컴퓨터그래픽3D1,조소과
작품 활동의 기반으로 3D 모델링 기술을 습득한다.,조소과
서양조각사,조소과
원시시대부터 현대까지 서양조각사 중심으로 역사적전개를 특성과 배경을 고찰한다.,조소과
혼합조각연구1(캡스톤디자인),조소과
혼합조각의 심화 과정,조소과
소조5(캡스톤디자인),조소과
점토를 매체로 다양한 인체 표현을 연구한다.,조소과
금속조1(캡스톤디자인),조소과
금속을 재료로 그 기법과 물성을 연구한다.,조소과
조소창작실기(캡스톤디자인),조소과
소조3(캡스톤디자인),조소과
혼합조각(캡스톤디자인),조소과
설치와매체(캡스톤디자인),조소과
다양한 매체를 활용한 작품에 대한 인식론적 측면의 개념을 연구하고 실제 작업을 통해 응용한다.,조소과
소조6(캡스톤디자인),조소과
소조5의 심화과정,조소과
현대작가세미나(캡스톤디자인),조소과
소조4(캡스톤디자인),조소과
소조3의 심화과정,조소과
금속조2(캡스톤디자인),조소과
금속조 1의 심화 과정,조소과
혼합조각연구2(캡스톤디자인),조소과
혼합조각연구 1의 심화과정,조소과
오늘은 조소과/조소학과에대해 소개해드리려구하는데요,조소과
조소란 재료를 깎고 새기거나 빚어서 입체형상을 만드는 미술을 뜻하고 있습니다 보통 조각과 소조를 아울러 이르는데요 ,조소과
하지만 현대미술의 탈장르화에 따라 조소의 경계도 모호해지고 다양해지고 있죠,조소과
그럼 조소과/조소학과의 매력에 대해 알아볼까요?,조소과
조소과/조소학과는 현대미술에서 입체작업이 차지하는 비중이 점점 커지고 있는 가운데 현대사회에서 가장 중요시 되는 환졍적 측면에서의 조각을 재조명하면서 도서미관에 상호 관련된 디자인건축 환경미학 도시계획 등을 학문적으로 공부하며 조각예술의 흐름과 양식 및 기법을 익혀 이를 통해 사회적 기능과 역할을 다하는 창조적 예술가 양성과 창의적 조각예술 창달을 목적으로 하는 학과에요,조소과
대학에서는 기본적으로 조소 입체미술 환경조각 조형예술이라는 명칭을 사용하고 있으며 서양화와 한국화 등과 함께 설치된 대학도 다분해요,조소과
조소과/조소학과에서는 모델링을 위주로 하는 전통적인 소조학습체의 바탕위에 현대 조각의 이념과 표현 기법을 지도함으로써 다원화된 다조각의 개념을 익히게 되죠,조소과
첫 번째 조각론으로 조각사의 표현사조를 바탕으로 하여 삼차원적 표현의 조형론을 시적 미학적 측면에서 연구하며 표현재료 및 조각기법의 변천사를 통해 기법의 훈련 및 전개방법을 배우구요,조소과
두 번째는 소묘로 조형의 기초과정에서 석고상을 통하여 대상에 대한 철저한 관찰력과 표현력을 길러 조형의 기본적인 훈련과 전개방법을 배워요 ,조소과
세 번째 부조기법으로 2차원적 특징을 지닌 전통적 부조기법을 바탕으로 하여 현대적 표현을 위한 다양한 재료 및 표현의 원리에 대해 배우며,조소과
네 번째 미술재료학으로 미술 분야전반에 걸쳐 사용되는 재료의 성질과 기능을 이해하여 미술 이론과 표현작업에 실제로 사용할 수 있도록 배워요,조소과
마지막으로 미술해부학이 있는데 인체의 미적표현을 위하여 인체의 근육과 골격의 구조 그리고 운동의 특성을 습득하고 조형적 표현에 응용되는 인체의 원리에 대해 배운답니다,조소과
조소과/조소학과에서 공부하면서 실기교사나 유치원 2급 정교사 샵마스터등의 관련 자격증을 취득 할 수 있으니 꼭 따두면 취업에 도움이 많이 되겠죠?,조소과
조소과는 대부분 흙으로 작업하고 동상등을 만드는 과정을 배우는 학과로 알려져있어서 졸업 후에 취업이 어렵다는 편견을 많이 가지고 있는 학과 중 하나인데요,조소과
이와 반대로 커리큘럼이 점토 목재 철 등 기본적인 재료로 한정되지 않고 다양한 재료와 소재로의 사용을 가르치고  다양하게 표현하는 법을 배우기 때문에 의외로 다양한 영역의 취업 진출이 가능한 학과에요,조소과
조소과/조소학과를 지원한 친구들을 보면 대게 작가활동을 하기 위해 지원해 작가가 되기위한 발판으로 삼는것이 일반적이긴 하지만 이제는 입체감각이 뛰어나야 하는 분야에서도 조소과 출신들의 인재를 선호한다고 해서 애니메이션 및 캐릭터 제작 3D모델러등 다양한 진로로 취업 할 수도 있어요,조소과
이외에도 방송국 쪽으로 관련된 특수분장팀으로 나갈 수도 있고 석조물을 만드는 석공예사로 취업을 하거나 학문적으로 더 공부해서 미술대학 교수 또는 중고등학교 미술선생님이 될 수도 있답니다~~,조소과
학과에 얽매여 좁은 시야로 직업군을 찾고 진로를 선택하여 학과를 지원하는 오류를 범하지 마시고 넓은 시야로 보다 많은 정보를 찾아보고 후에 본인이 나아갈 방향을 생각하시길 바라면서! 소재의 한계를 넘어서는 무궁무진한 조소의 매력 조소과/조소학과의 이야기였습니다.,조소과
조소과에는 4년 과정의 미술학학사와 2년 과정의 석ㆍ박사 과정이 있으며 조소과는 조소 예술에 관련한 미술학도의 표현력을 수련시키고 문화적 당위성을 고양시키기 위해서 조소를 이루는 여러 재료와 물성에 대한 이론적 접근과 실습을 병행하는 체계적이고 균형 잡힌 교육을 실시하고 있습니다.,조소과
